ID Водителя;Фамилия;Имя;Дата рождения;"Номер 
водительского
удостоверения";Город
1;Гордеев;Никон;2000-01-10;9831 28580;Каневская
2;Гуляев;Соломон;1968-01-13;4236 80245;Каневская
3;Калинин;Мир;1970-12-02;7145 92100;Колпашево
4;Баранов;Парфен;1999-08-13;4894 90429;Колпашево
5;Петров;Сила;1988-03-26;6119 86387;Каневская
6;Шашков;Гордей;1975-09-26;9875 54569;Колпашево
7;Белозеров;Святополк;1970-04-13;1218 35785;Бодайбо
8;Носков;Виктор;1987-10-23;1648 33313;Ульяновск
9;Потапов;Радован;1970-04-20;4185 77039;Ставрополь
10;Родионов;Иван;1973-09-13;5580 10860;Каневская
11;Вишняков;Милен;2001-09-19;8871 30278;Ульяновск
12;Соловьев;Мстислав;1990-08-30;5675 28908;Ставрополь
13;Мишин;Пимен;1980-07-27;5466 67323;Белореченск
14;Рогов;Ратибор;1991-05-09;3952 26595;Чехов
15;Брагин;Фотий;1979-08-10;5326 93339;Чехов
16;Евдокимов;Нестор;1987-11-14;1760 93212;Ульяновск
17;Романов;Корнил;1982-04-22;3926 75613;Колпашево
18;Гущин;Михей;1972-11-16;2072 67539;Чехов
19;Мельников;Леон;1979-04-06;1114 19539;Каневская
20;Голубев;Дмитрий;1979-08-09;2303 76338;Чехов
21;Устинов;Фотий;2000-07-27;8393 75731;Ульяновск
22;Красильников;Рюрик;1964-10-29;8095 90694;Бодайбо
23;Степанов;Гедеон;1970-07-07;7950 44241;Ульяновск
24;Козлов;Соломон;1970-09-29;1656 57655;Бодайбо
25;Гаврилов;Фирс;1999-12-24;9065 93942;Малгобек
26;Аксенов;Давыд;1971-07-06;4680 43293;Белореченск
27;Степанов;Антип;1994-03-03;3147 25910;Белореченск
28;Шубин;Радован;1970-07-15;7274 25182;Чехов
29;Кудрявцев;Фома;2001-09-10;7650 51531;Колпашево
30;Моисеев;Ананий;2005-05-12;8026 96327;Каневская
31;Давыдов;Ипполит;1969-04-27;7712 67392;Малгобек
32;Трофимов;Зосима;1985-12-30;6779 61502;Чехов
33;Карпов;Глеб;1963-03-18;4443 25700;Белореченск
34;Шестаков;Макар;1988-01-07;5152 67034;Колпашево
35;Рожков;Никита;1983-03-24;5152 82716;Каневская
36;Носков;Аристарх;1987-01-02;8045 89085;Колпашево
37;Калашников;Антонин;1997-09-08;3414 58739;Чехов
38;Фадеев;Селиван;1999-03-10;4480 76952;Чехов
39;Терентьев;Афанасий;1986-03-09;1958 19984;Ульяновск
40;Потапов;Вацлав;1974-02-26;8209 65077;Ульяновск
41;Архипов;Эдуард;1982-02-21;3744 25031;Ульяновск
42;Ермаков;Тарас;2005-08-29;1874 55548;Бодайбо
43;Морозов;Август;1982-02-11;5435 87862;Колпашево
44;Зиновьев;Капитон;1964-08-24;3403 97643;Колпашево
45;Петухов;Поликарп;1981-03-25;2178 50450;Ставрополь
46;Овчинников;Радислав;1983-01-13;8044 55933;Чехов
47;Блинов;Ефрем;1997-10-18;5661 82228;Ставрополь
48;Ефремов;Самсон;1984-05-19;5320 88546;Чехов
49;Устинов;Аполлон;1997-02-12;6487 78556;Ставрополь
50;Воронов;Эдуард;1976-07-01;2024 58360;Белореченск
51;Мельников;Христофор;1983-11-11;6564 35805;Ульяновск
52;Волков;Емельян;1972-05-23;4404 23538;Белореченск
53;Русаков;Измаил;1969-03-21;1662 36158;Чехов
54;Егоров;Трифон;1994-04-13;5131 66962;Ульяновск
55;Лобанов;Валерий;1990-01-29;8329 59089;Ставрополь
56;Носов;Александр;1992-10-06;5821 58423;Чехов
57;Пестов;Силантий;1997-04-09;2936 87900;Каневская
58;Лихачев;Милий;1963-05-29;1196 18261;Белореченск
59;Комаров;Николай;1984-06-20;6720 29475;Белореченск
60;Капустин;Елизар;1965-08-17;1541 96765;Малгобек
61;Блохин;Евграф;1987-06-30;6829 24406;Белореченск
62;Воронцов;Станимир;1987-09-18;8654 99277;Чехов
63;Капустин;Эммануил;2003-08-16;4829 82512;Малгобек
